			m3l	m3l	m3l	m3l	m3l	m3l	m3l	m3l	vocab	vocab	vocab	vocab	vocab	vocab	vocab	vocab	ses	ses	ses	ses	ses	ses	ses	ses	age	age	age	age	age	age	age	age	headSize	headSize	headSize	headSize	headSize	headSize	headSize	headSize	nSibs	nSibs	nSibs	nSibs	nSibs	nSibs	nSibs	nSibs	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight	birthWeight
			count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
c	low	F	8.0	3.95	3.1654383582688825	0.0	2.25	3.3	6.425	8.3	8.0	274.375	205.3004331635539	41.0	113.25	217.5	461.0	570.0	8.0	46.125	11.633541408972837	30.0	36.125	48.25	56.25	58.0	8.0	59.0	5.68205194324324	53.0	54.75	57.0	63.25	69.0	8.0	39.25	0.4629100498862757	39.0	39.0	39.0	39.25	40.0	8.0	0.5	0.7559289460184544	0.0	0.0	0.0	1.0	2.0	8.0	117.625	12.129509470708204	106.0	108.25	112.5	128.25	136.0
c	low	M	6.0	2.6	1.5874507866387546	0.0	2.075	2.8	3.3	4.7	6.0	242.0	162.5706000481022	66.0	109.0	221.5	375.25	445.0	6.0	41.583333333333336	11.464801204847237	22.0	41.625	42.5	43.0	58.0	6.0	61.5	8.068457101577723	53.0	55.5	61.0	64.25	75.0	6.0	39.5	1.760681686165901	37.0	39.0	39.0	40.5	42.0	6.0	1.0	0.6324555320336759	0.0	1.0	1.0	1.0	2.0	6.0	120.66666666666667	19.75516810018752	102.0	108.75	111.5	133.75	150.0
d	high	F	8.0	5.175	1.165884091273963	3.7	4.0	5.35	6.075	6.7	8.0	493.875	97.80949048313987	339.0	424.75	502.0	546.25	638.0	8.0	62.125	2.862940546261583	59.5	60.25	60.5	64.875	66.0	8.0	59.25	4.334248987508019	54.0	55.75	58.5	63.25	65.0	8.0	39.5	1.3093073414159542	38.0	38.75	39.5	40.0	42.0	8.0	0.375	0.7440238091428449	0.0	0.0	0.0	0.25	2.0	8.0	118.0	5.732115042211108	111.0	113.5	117.5	122.5	126.0
d	high	M	3.0	7.233333333333333	3.0599564267050163	3.7	6.35	9.0	9.0	9.0	3.0	371.6666666666667	250.77945157714444	182.0	229.5	277.0	466.5	656.0	3.0	65.0	1.7320508075688772	63.0	64.5	66.0	66.0	66.0	3.0	57.0	11.135528725660043	45.0	52.0	59.0	63.0	67.0	3.0	40.0	0.0	40.0	40.0	40.0	40.0	40.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	114.0	27.51363298439521	86.0	100.5	115.0	128.0	141.0
d	low	F	8.0	5.4	3.3269462617498693	0.0	3.2249999999999996	5.15	8.3	10.0	8.0	399.375	204.52169811538334	88.0	227.75	460.5	560.25	616.0	8.0	46.125	11.633541408972837	30.0	36.125	48.25	56.25	58.0	8.0	59.0	5.68205194324324	53.0	54.75	57.0	63.25	69.0	8.0	39.25	0.4629100498862757	39.0	39.0	39.0	39.25	40.0	8.0	0.5	0.7559289460184544	0.0	0.0	0.0	1.0	2.0	8.0	117.625	12.129509470708204	106.0	108.25	112.5	128.25	136.0
d	low	M	6.0	3.716666666666667	2.348971406098139	2.0	2.4	2.85	3.75	8.3	6.0	348.0	179.9944443587079	185.0	189.0	322.0	476.0	587.0	6.0	41.583333333333336	11.464801204847237	22.0	41.625	42.5	43.0	58.0	6.0	61.5	8.068457101577723	53.0	55.5	61.0	64.25	75.0	6.0	39.5	1.760681686165901	37.0	39.0	39.0	40.5	42.0	6.0	1.0	0.6324555320336759	0.0	1.0	1.0	1.0	2.0	6.0	120.66666666666667	19.75516810018752	102.0	108.75	111.5	133.75	150.0
e	high	F	8.0	7.375	2.367488120350343	4.7	6.0	6.3	8.5	11.7	8.0	587.25	77.22277606287632	452.0	564.75	600.5	645.0	670.0	8.0	62.125	2.862940546261583	59.5	60.25	60.5	64.875	66.0	8.0	59.25	4.334248987508019	54.0	55.75	58.5	63.25	65.0	8.0	39.5	1.3093073414159542	38.0	38.75	39.5	40.0	42.0	8.0	0.375	0.7440238091428449	0.0	0.0	0.0	0.25	2.0	8.0	118.0	5.732115042211108	111.0	113.5	117.5	122.5	126.0
e	high	M	3.0	11.566666666666668	5.143280405862909	5.7	9.7	13.7	14.5	15.3	3.0	552.6666666666666	103.46658075597809	488.0	493.0	498.0	585.0	672.0	3.0	65.0	1.7320508075688772	63.0	64.5	66.0	66.0	66.0	3.0	57.0	11.135528725660043	45.0	52.0	59.0	63.0	67.0	3.0	40.0	0.0	40.0	40.0	40.0	40.0	40.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	114.0	27.51363298439521	86.0	100.5	115.0	128.0	141.0
e	low	F	8.0	6.512499999999999	5.53106486776539	0.0	2.0250000000000004	6.2	11.075	14.7	8.0	488.5	165.46126003215548	201.0	378.0	527.0	636.25	650.0	8.0	46.125	11.633541408972837	30.0	36.125	48.25	56.25	58.0	8.0	59.0	5.68205194324324	53.0	54.75	57.0	63.25	69.0	8.0	39.25	0.4629100498862757	39.0	39.0	39.0	39.25	40.0	8.0	0.5	0.7559289460184544	0.0	0.0	0.0	1.0	2.0	8.0	117.625	12.129509470708204	106.0	108.25	112.5	128.25	136.0
e	low	M	6.0	4.883333333333334	3.417260111063638	0.0	4.0	4.15	6.1000000000000005	10.3	6.0	514.5	184.0899236786196	254.0	373.5	593.5	657.5	667.0	6.0	41.583333333333336	11.464801204847237	22.0	41.625	42.5	43.0	58.0	6.0	61.5	8.068457101577723	53.0	55.5	61.0	64.25	75.0	6.0	39.5	1.760681686165901	37.0	39.0	39.0	40.5	42.0	6.0	1.0	0.6324555320336759	0.0	1.0	1.0	1.0	2.0	6.0	120.66666666666667	19.75516810018752	102.0	108.75	111.5	133.75	150.0
