,,age,age,age,age,age,age,age,age,headSize,headSize,headSize,headSize,headSize,headSize,headSize,headSize,birthWeight,birthWeight,birthWeight,birthWeight,birthWeight,birthWeight,birthWeight,birthWeight,ses,ses,ses,ses,ses,ses,ses,ses,maternalEdu,maternalEdu,maternalEdu,maternalEdu,maternalEdu,maternalEdu,maternalEdu,maternalEdu,paternalEdu,paternalEdu,paternalEdu,paternalEdu,paternalEdu,paternalEdu,paternalEdu,paternalEdu,nSibs,nSibs,nSibs,nSibs,nSibs,nSibs,nSibs,nSibs
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
group,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six,F,12.0,191.75,5.674904885065956,185.0,188.0,189.0,197.25,202.0,12.0,43.5,1.381698559415515,41.0,43.0,43.0,44.25,46.0,12.0,118.83333333333333,8.054736983836772,106.0,111.75,121.5,124.0,132.0,12.0,41.5,26.893730259536834,0.0,26.25,57.5,59.75,66.0,11.0,16.636363636363637,2.1105794120443453,12.0,16.0,17.0,17.5,20.0,11.0,17.181818181818183,2.600699206681996,12.0,16.0,17.0,18.5,22.0,12.0,0.5,0.674199862463242,0.0,0.0,0.0,1.0,2.0
Six,M,9.0,192.55555555555554,9.288583195395184,179.0,188.0,191.0,193.0,208.0,9.0,43.888888888888886,0.927960727138337,42.0,44.0,44.0,44.0,45.0,9.0,112.11111111111111,14.52966314513558,86.0,108.0,111.0,115.0,136.0,9.0,30.833333333333332,26.429150572805025,0.0,0.0,41.5,43.0,66.0,9.0,16.22222222222222,2.1666666666666665,12.0,16.0,16.0,18.0,19.0,9.0,15.222222222222221,3.032234233110042,12.0,12.0,15.0,17.0,20.0,9.0,0.5555555555555556,0.7264831572567789,0.0,0.0,0.0,1.0,2.0
Two,F,12.0,60.25,5.011350752405619,54.0,56.25,61.0,64.0,69.0,12.0,39.5,1.087114613009218,38.0,39.0,39.5,40.0,42.0,12.0,118.83333333333333,8.054736983836772,106.0,111.75,121.5,124.0,132.0,12.0,41.5,26.893730259536834,0.0,26.25,57.5,59.75,66.0,11.0,16.636363636363637,2.1105794120443453,12.0,16.0,17.0,17.5,20.0,11.0,17.181818181818183,2.600699206681996,12.0,16.0,17.0,18.5,22.0,12.0,0.5,0.674199862463242,0.0,0.0,0.0,1.0,2.0
Two,M,9.0,61.888888888888886,6.67915496983796,54.0,59.0,60.0,65.0,75.0,9.0,39.111111111111114,1.1666666666666665,37.0,39.0,39.0,40.0,41.0,9.0,112.22222222222223,14.437605218471809,86.0,108.0,111.0,115.0,136.0,9.0,30.833333333333332,26.429150572805025,0.0,0.0,41.5,43.0,66.0,9.0,16.22222222222222,2.1666666666666665,12.0,16.0,16.0,18.0,19.0,9.0,15.222222222222221,3.032234233110042,12.0,12.0,15.0,17.0,20.0,9.0,0.5555555555555556,0.7264831572567789,0.0,0.0,0.0,1.0,2.0
