contrast,gender,age,auc.meg_MEAN,hs2_MEAN,hs6_MEAN,bw_MEAN,ses_MEAN,MEd_MEAN,MH_MEAN,PEd_MEAN,PH_MEAN,auc.meg_SD,hs2_SD,hs6_SD,bw_SD,ses_SD,MEd_SD,MH_SD,PEd_SD,PH_SD,auc.meg_IQR,hs2_IQR,hs6_IQR,bw_IQR,ses_IQR,MEd_IQR,MH_IQR,PEd_IQR,PH_IQR
ba-wa,M,18,0.5067481244509179,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.05234539183661044,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.051915574282147325,1,0,7,20,2,0,5,1
ba-wa,M,21,0.5067481244509179,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.05234539183661044,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.051915574282147325,1,0,7,20,2,0,5,1
ba-wa,M,24,0.5067481244509179,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.05234539183661044,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.051915574282147325,1,0,7,20,2,0,5,1
ba-wa,M,27,0.5067481244509179,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.05234539183661044,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.051915574282147325,1,0,7,20,2,0,5,1
ba-wa,M,30,0.5067481244509179,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.05234539183661044,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.051915574282147325,1,0,7,20,2,0,5,1
ba-wa,F,18,0.5025632607677903,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.04917450841725252,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06397425093632958,1,1.25,12.25,10.125,1.25,0.25,2.25,1
ba-wa,F,21,0.5025632607677903,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.04917450841725252,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06397425093632958,1,1.25,12.25,10.125,1.25,0.25,2.25,1
ba-wa,F,24,0.5025632607677903,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.04917450841725252,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06397425093632958,1,1.25,12.25,10.125,1.25,0.25,2.25,1
ba-wa,F,27,0.5025632607677903,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.04917450841725252,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06397425093632958,1,1.25,12.25,10.125,1.25,0.25,2.25,1
ba-wa,F,30,0.5025632607677903,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.04917450841725252,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06397425093632958,1,1.25,12.25,10.125,1.25,0.25,2.25,1
standard-ba,M,18,0.5241748306515005,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.04468570874304149,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.04467977528089884,1,0,7,20,2,0,5,1
standard-ba,M,21,0.5241748306515005,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.04468570874304149,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.04467977528089884,1,0,7,20,2,0,5,1
standard-ba,M,24,0.5241748306515005,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.04468570874304149,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.04467977528089884,1,0,7,20,2,0,5,1
standard-ba,M,27,0.5241748306515005,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.04468570874304149,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.04467977528089884,1,0,7,20,2,0,5,1
standard-ba,M,30,0.5241748306515005,39.111111111111114,43.888888888888886,112.11111111111111,49.333333333333336,16.22222222222222,5.777777777777778,15.222222222222221,5.555555555555555,0.04468570874304149,1.1019864906280121,0.8765144444055379,13.724136427984389,13.128617398474946,2.046546339737737,0.7871332075914372,2.8641267096917633,1.0677194309121942,0.04467977528089884,1,0,7,20,2,0,5,1
standard-ba,F,18,0.5079279416354557,39.5,43.5,118.83333333333333,55.416666666666664,16.583333333333332,6.083333333333333,17.25,6.166666666666667,0.05359334592443443,1.0422816197795883,1.3247168194790104,7.722556766276085,10.179106352137879,1.9373904857179458,0.7602594484578007,2.3881672090505726,0.8987766368219281,0.06270341760299636,1,1.25,12.25,10.125,1.25,0.25,2.25,1
