sesGroup.y	oddballCond	hemisphere	Count	latencies_MEAN	auc_MEAN	latencies_SD	auc_SD	latencies_MIN	auc_MIN	latencies_MAX	auc_MAX	latencies_IQR	auc_IQR
high	deviant	lh	11	0.31242424242424244	9.361424845352193e-10	0.10614734925328229	2.3281062442694332e-10	0.15166666666666667	5.970433145739052e-10	0.51	1.3936858005302386e-9	0.17000000000000004	3.710414648334875e-10
high	deviant	rh	11	0.3325	9.798876941989697e-10	0.11307123633010813	3.8707607079110374e-10	0.15833333333333333	3.8955303875137905e-10	0.5066666666666667	1.910659574664312e-9	0.2066666666666667	4.894867811963174e-10
high	standard	lh	11	0.3143939393939394	9.106355113847092e-10	0.09577030328549366	2.7731465198571094e-10	0.16833333333333333	6.028120469292438e-10	0.43666666666666665	1.5886068583128911e-9	0.21666666666666667	4.1573116593018744e-10
high	standard	rh	11	0.3056060606060606	9.66137122638186e-10	0.11285272260617325	4.3394953602414284e-10	0.17	5.525850300984083e-10	0.5083333333333333	2.093973624592402e-9	0.16166666666666668	5.902987685732264e-10
low	deviant	lh	14	0.3545238095238095	1.209749180765738e-9	0.09950502715053569	4.987591117580224e-10	0.15	4.365703702294511e-10	0.51	2.1645215517110305e-9	0.14875000000000005	7.134691224718385e-10
low	deviant	rh	14	0.32	1.1851275416083202e-9	0.0941791072192273	5.25389114531839e-10	0.16833333333333333	4.0129967172641566e-10	0.51	2.1675212245756063e-9	0.1545833333333333	8.744299768427574e-10
low	standard	lh	14	0.3225	1.3717325904061285e-9	0.09207473947263332	6.324336037675839e-10	0.17666666666666667	6.521995180654744e-10	0.4866666666666667	3.0638056420672145e-9	0.16	9.421396125441813e-10
low	standard	rh	14	0.37952380952380954	1.208959487563413e-9	0.09685353537889015	4.537331358018325e-10	0.15166666666666667	6.568742018313267e-10	0.505	1.9834272742871043e-9	0.14166666666666666	8.515660703850418e-10
